dates,number_of_contributors,number_of_commits,number_of_new_contributors,number_of_contributor-domains,number_of_new_contributor-domains,number_of_open_PRs,number_of_closed_PRs,number_of_merged_PRs,number_of_open_issues,number_of_closed_issues,number_of_issue_comments,number_of_stargazers,number_of_forks
2015-01-01,10,104,1,1,0,0,0,0,3,0,2,0,0
2015-02-01,8,203,1,1,0,0,0,0,1,0,0,0,0
2015-03-01,11,141,0,1,0,0,0,0,8,0,3,0,0
2015-04-01,10,158,0,1,0,0,0,0,4,0,1,0,0
2015-05-01,7,109,2,1,0,0,0,0,2,0,1,0,0
2015-06-01,9,97,0,1,0,0,0,0,3,0,2,0,0
2015-07-01,7,191,0,1,0,0,0,0,7,0,3,0,0
2015-08-01,6,165,0,1,0,0,0,0,7,0,6,0,0
2015-09-01,8,167,0,1,0,0,0,0,9,0,4,0,0
2015-10-01,7,119,0,1,0,0,0,0,5,0,4,0,0
2015-11-01,5,58,0,1,0,0,0,0,7,0,2,0,0
2015-12-01,11,176,1,1,0,0,0,0,8,0,2,0,0
2016-01-01,6,105,0,1,0,0,0,0,5,0,6,0,0
2016-02-01,6,108,1,1,0,0,0,0,9,0,3,0,0
2016-03-01,8,179,1,1,0,0,0,0,9,0,6,19,0
2016-04-01,8,121,1,2,1,1,0,0,12,0,6,33,3
2016-05-01,10,169,1,1,0,1,2,0,13,3,20,24,7
2016-06-01,7,123,0,1,0,0,0,0,9,0,5,15,3
2016-07-01,8,128,1,1,0,0,0,0,13,0,6,12,5
2016-08-01,8,150,0,1,0,1,0,0,16,0,5,9,3
2016-09-01,8,84,1,1,0,0,0,0,7,0,3,18,1
2016-10-01,7,148,0,1,0,0,0,0,25,0,33,11,2
2016-11-01,7,105,0,2,0,1,1,0,25,1,10,7,1
2016-12-01,9,146,0,1,0,2,2,0,14,2,4,6,1
2017-01-01,8,96,1,1,0,3,0,0,23,0,16,8,3
2017-02-01,10,97,0,1,0,3,6,0,22,6,50,10,0
2017-03-01,12,109,0,1,0,1,1,0,21,1,14,9,4
2017-04-01,8,109,1,1,0,1,0,1,28,1,16,9,1
2017-05-01,9,54,1,1,0,0,0,0,34,1,47,4,1
2017-06-01,7,100,1,1,0,0,1,0,27,2,17,7,2
2017-07-01,9,90,1,3,1,2,0,1,25,1,28,13,4
2017-08-01,11,91,4,2,0,1,0,2,28,2,18,6,3
2017-09-01,9,137,1,2,1,3,1,1,40,2,33,6,2
2017-10-01,10,98,2,3,0,3,0,3,35,3,28,10,0
2017-11-01,10,96,1,3,0,2,1,1,34,2,37,13,2
2017-12-01,8,119,0,1,0,0,0,0,18,0,6,11,1
2018-01-01,9,68,1,1,0,0,0,0,20,2,17,107,4
2018-02-01,8,83,1,2,0,1,1,1,27,3,40,23,3
2018-03-01,10,154,1,2,0,2,1,1,36,4,36,23,1
2018-04-01,11,121,0,3,0,4,0,3,70,10,50,16,0
2018-05-01,12,68,4,3,1,15,0,15,103,191,167,13,3
2018-06-01,14,110,2,3,0,2,1,2,102,98,112,15,1
2018-07-01,10,97,1,2,0,1,0,1,91,75,135,19,4
2018-08-01,10,109,0,2,0,2,1,1,124,115,213,24,3
2018-09-01,9,130,1,3,0,2,1,1,83,66,126,13,4
2018-10-01,12,175,0,4,0,6,0,3,172,151,229,22,2
2018-11-01,11,173,1,3,0,11,1,8,142,137,167,7,2
2018-12-01,9,160,1,1,0,7,1,5,102,136,129,15,2
2019-01-01,9,138,1,2,0,2,1,6,107,136,145,16,2
2019-02-01,8,90,0,1,0,5,0,3,80,78,80,22,6
2019-03-01,9,83,1,1,0,0,0,2,86,85,112,32,8
2019-04-01,11,127,1,1,0,0,0,0,86,114,104,20,5
2019-05-01,12,128,0,2,0,2,0,2,69,111,170,27,5
2019-06-01,11,76,0,1,0,1,0,0,63,97,129,18,7
2019-07-01,13,103,2,1,0,0,0,0,75,75,122,24,3
2019-08-01,12,109,2,1,0,2,1,0,83,123,233,20,7
2019-09-01,9,65,0,1,0,1,0,0,60,43,72,20,5
2019-10-01,10,49,0,2,0,5,1,3,64,48,71,22,2
2019-11-01,13,84,1,2,0,1,0,2,51,102,105,12,3
2019-12-01,12,86,1,3,0,5,3,3,54,84,127,35,6
2020-01-01,13,67,0,2,0,2,0,3,47,48,76,27,1
2020-02-01,10,58,0,2,0,1,0,1,66,65,83,19,3
2020-03-01,12,48,1,2,1,2,0,1,55,45,37,20,4
2020-04-01,11,22,3,3,1,2,0,3,64,28,67,25,6
2020-05-01,10,14,2,4,0,5,0,4,44,17,24,25,7
2020-06-01,11,44,1,2,0,1,0,1,25,43,18,24,2
2020-07-01,13,46,3,4,1,5,1,2,55,52,57,46,10
2020-08-01,7,16,3,4,1,4,0,3,34,10,17,20,5
